cluster_a,cluster_b,links,keywords_a,keywords_b
15,29,5,"contra nota, abate, gera contra","detalhamento teste, login, user"
6,41,5,"senha, user, acesso base","situação, ocorrida, sobre"
65,75,5,"ticket, una, proceso","select, código, tabela"
44,46,5,"rotativo inventario, relatório posição, controle rotativo","relatório, resumo produção, apontamento rótulos"
58,117,5,"engenharia, estruturação produto, desenvolvimento produto","cartão, emissão, componente"
24,58,5,"duramas, queda, feira marcio","engenharia, estruturação produto, desenvolvimento produto"
103,104,5,"fábrica lançamentos, apontamento rótulos, manufatura chão","apontamento, funcionário, desvio processo"
61,80,5,"painel, web, embalagem","cep, lançamento, controle indicador"
87,119,5,"fábrica lançamentos, lançamentos apontamento, apontamento ordem","mestre produção, plano mestre, manufatura plano"
51,129,5,"mail assunto, email, abaixo","remessa, industrialização, retorno"
68,76,5,"custeio, soubach, couro","qtde, medição, metragem"
70,80,5,"custeio, custo, mês","cep, lançamento, controle indicador"
25,52,5,"patchs, pegada, frigolaste","descritivos técnicos, doc, curtume"
59,69,5,"romaneio, saída, faturamento","arezzo, importação, romaneio"
24,51,5,"duramas, queda, feira marcio","mail assunto, email, abaixo"
26,134,5,"aplicar regra, venda documentação, produtos sku","abastecimento, suprimentos planejamento, materiais"
100,119,5,"lote, balanceado, quantidade","mestre produção, plano mestre, manufatura plano"
64,102,5,"produtos fabricação, mês, geração produtos","encerramento, períodos, mês"
47,51,5,"importação, fiscais, notas","mail assunto, email, abaixo"
88,134,5,"flush, back, baixa","abastecimento, suprimentos planejamento, materiais"
116,122,5,"processo, recurso, relatório","pesagem, compensação, ofs"
27,109,5,"caixas, aproveitamento, lote","cri, inventariado, inventário"
78,133,5,"plano produção, projeção, necessidades","requisição, centro custo, baixa"
138,141,5,"faturamento, liberação, encaixotamento","faturamento, rota, liberação pedidos"
19,80,5,"devolução, cep, evento","cep, lançamento, controle indicador"
65,97,5,"ticket, una, proceso","planejamento, ofs, planos"
97,114,5,"planejamento, ofs, planos","fabricação, ordem, ordens"
97,119,5,"planejamento, ofs, planos","mestre produção, plano mestre, manufatura plano"
114,119,5,"fabricação, ordem, ordens","mestre produção, plano mestre, manufatura plano"
17,111,5,"gtin, ean, txt","importação, edi, arquivo"
117,129,5,"cartão, emissão, componente","remessa, industrialização, retorno"
51,67,5,"mail assunto, email, abaixo","rotulo, ler, caixa"
26,51,5,"aplicar regra, venda documentação, produtos sku","mail assunto, email, abaixo"
61,141,5,"painel, web, embalagem","faturamento, rota, liberação pedidos"
94,101,5,"vendas, planejamento, distribuição","planejamento vendas, estoque, entrega"
26,120,5,"aplicar regra, venda documentação, produtos sku","ivendre, ios, proposta"
111,126,5,"importação, edi, arquivo","desconto, comissão, regra"
65,77,5,"ticket, una, proceso","email, envio, mails"
29,77,5,"detalhamento teste, login, user","email, envio, mails"
20,29,5,"carteira, análise, representante","detalhamento teste, login, user"
29,54,5,"detalhamento teste, login, user","cnpj, jurídicas, pessoas"
112,118,5,"eficiência, eficiencia, recurso","planejamento, minutos, turno"
12,51,5,"manutenção, preventiva, maquina","mail assunto, email, abaixo"
69,111,5,"arezzo, importação, romaneio","importação, edi, arquivo"
1,139,4,"nao, dito, deve","crédito, risco, analise"
5,6,4,"reg, status notas, filler","senha, user, acesso base"
29,137,4,"detalhamento teste, login, user","icms, sped, fiscal"
137,147,4,"icms, sped, fiscal","importação notas, fiscais importação, entrada xml"
21,71,4,"utilizado, laboratorial, técnica","fpv, preço venda, cálculo"
23,77,4,"logs, job, tabelas","email, envio, mails"
22,97,4,"saldo saldo, alterado, prev","planejamento, ofs, planos"
49,58,4,"corrugado, rótulos, corrugada","engenharia, estruturação produto, desenvolvimento produto"
50,58,4,"características, categoria, configuração","engenharia, estruturação produto, desenvolvimento produto"
76,93,4,"qtde, medição, metragem","semi, acabado, ofs"
32,103,4,"rótulos, armazenamento, unidades","fábrica lançamentos, apontamento rótulos, manufatura chão"
87,103,4,"fábrica lançamentos, lançamentos apontamento, apontamento ordem","fábrica lançamentos, apontamento rótulos, manufatura chão"
76,80,4,"qtde, medição, metragem","cep, lançamento, controle indicador"
87,95,4,"fábrica lançamentos, lançamentos apontamento, apontamento ordem","sql, movimento, estoque"
80,87,4,"cep, lançamento, controle indicador","fábrica lançamentos, lançamentos apontamento, apontamento ordem"
38,87,4,"moeda, cotação, cotações","fábrica lançamentos, lançamentos apontamento, apontamento ordem"
86,123,4,"medida, unidade, qtde","abastecimento, ofs, consumo"
41,92,4,"situação, ocorrida, sobre","formula, tinta, materiais"
122,123,4,"pesagem, compensação, ofs","abastecimento, ofs, consumo"
33,86,4,"conta contábil, produtos fabricação, geração produtos","medida, unidade, qtde"
80,104,4,"cep, lançamento, controle indicador","apontamento, funcionário, desvio processo"
95,136,4,"sql, movimento, estoque","entrada, chave, smart"
92,97,4,"formula, tinta, materiais","planejamento, ofs, planos"
65,72,4,"ticket, una, proceso","largura, equivocada, duramas"
51,97,4,"mail assunto, email, abaixo","planejamento, ofs, planos"
41,129,4,"situação, ocorrida, sobre","remessa, industrialização, retorno"
33,68,4,"conta contábil, produtos fabricação, geração produtos","custeio, soubach, couro"
123,133,4,"abastecimento, ofs, consumo","requisição, centro custo, baixa"
70,102,4,"custeio, custo, mês","encerramento, períodos, mês"
119,134,4,"mestre produção, plano mestre, manufatura plano","abastecimento, suprimentos planejamento, materiais"
72,134,4,"largura, equivocada, duramas","abastecimento, suprimentos planejamento, materiais"
34,96,4,"labelli, pegada, estava","select, código, sql"
140,143,4,"sefaz, receita, notas","danfe, monitor, fiscais"
40,48,4,"carta correção, mail assunto, nfs","sobre destaque, aparece venda, precisa habilitar"
127,128,4,"kunden systems, marcio, systems convidado","schneider, marcio, eunice"
