cluster_a,cluster_b,links,keywords_a,keywords_b
64,86,4,"lote mínimo, mínimo compra, qtde","estoque futuro, localização, produção estoque"
78,98,4,"plano produção, entrega, planos","suprimentos compras, compra alteração, compras compra"
102,123,4,"rótulo, operação, coletor","distribuição pedidos, entrega, vendas distribuição"
96,123,4,"instrução, embarque, cancelamento saldo","distribuição pedidos, entrega, vendas distribuição"
29,96,4,"detalhamento teste, login, user","instrução, embarque, cancelamento saldo"
20,71,4,"carteira, análise, relatório","impressora, navegador, impressão"
108,123,4,"importação, edi, arquivo","distribuição pedidos, entrega, vendas distribuição"
123,131,4,"distribuição pedidos, entrega, vendas distribuição","ivendre, ios, valor mínimo"
40,72,4,"aplicar regra, venda documentação, estrutura comercial","ocorrida, sobre, situação"
78,128,4,"plano produção, entrega, planos","crédito, risco, analise"
55,107,4,"painel, web, abate","apontamento, web, coletores"
79,98,4,"email, envio, configuração","suprimentos compras, compra alteração, compras compra"
29,127,4,"detalhamento teste, login, user","eficiência, eficiencia, recurso"
84,127,4,"sql, código, select","eficiência, eficiencia, recurso"
15,103,4,"manutenção, preventiva, maquina","ora, mensagem, erro"
76,80,4,"rotativo inventario, liberar estoque, relatório posição","assunto, mail, marcio"
15,89,4,"manutenção, preventiva, maquina","flex, vendas, saldo"
27,75,4,"insumo, liq, prod","topificação utilizar, utilizar modelo, modelo topificação"
2,46,3,"revisão, painel, fracionamento","armazenagem, local, locais"
43,104,3,"materiais, material, componente","operações, propriedade, tempo"
44,135,3,"engenharia, estruturação produto, desenvolvimento produto","remessa, industrialização, retorno"
57,80,3,"calculo, fpv, tarifas","assunto, mail, marcio"
41,44,3,"lote, balanceado, quantidade","engenharia, estruturação produto, desenvolvimento produto"
103,129,3,"ora, mensagem, erro","entrada, chave, nfs"
38,80,3,"assunto alteração, alteração ficha, material","assunto, mail, marcio"
75,80,3,"topificação utilizar, utilizar modelo, modelo topificação","assunto, mail, marcio"
49,83,3,"etiqueta, embalagem, painel","cep, lançamento, controle indicador"
84,112,3,"sql, código, select","apontamento, fábrica lançamentos, talão"
17,67,3,"dígitos, ean, contentor","etiqueta, emissão, unidade produto"
3,29,3,"evento, autor, leiaute","detalhamento teste, login, user"
85,99,3,"lotes, painel, fracionar","qtde, medição, metragem"
20,123,3,"carteira, análise, relatório","distribuição pedidos, entrega, vendas distribuição"
107,120,3,"apontamento, web, coletores","cartão, emissão, componente"
90,99,3,"rendimento, custo, listar","qtde, medição, metragem"
99,116,3,"qtde, medição, metragem","consignação, depósito, operação"
52,122,3,"custeio, custo, mês","abastecimento, ofs, materiais"
93,105,3,"encerramento, estoque, períodos","estoque, reserva, localização"
101,136,3,"suprimentos estoque, estoque lançamentos, estoque produto","abastecimento, suprimentos planejamento, materiais"
84,95,3,"sql, código, select","arezzo, importação, rótulos"
37,69,3,"grade, variação, tamanhos","select, tabela, empresa"
34,95,3,"corrugado, rótulos, encaixotamento","arezzo, importação, rótulos"
84,138,3,"sql, código, select","plano mestre, mestre produção, planejamento"
52,57,3,"custeio, custo, mês","calculo, fpv, tarifas"
50,80,3,"custeio, couro, produto pronto","assunto, mail, marcio"
48,52,3,"produtos fabricação, geração produtos, fabricação quando","custeio, custo, mês"
15,93,3,"manutenção, preventiva, maquina","encerramento, estoque, períodos"
39,123,3,"pegada, patchs, frigolaste","distribuição pedidos, entrega, vendas distribuição"
48,99,3,"produtos fabricação, geração produtos, fabricação quando","qtde, medição, metragem"
32,52,3,"recálculo, custeio, controladoria custos","custeio, custo, mês"
95,103,3,"arezzo, importação, rótulos","ora, mensagem, erro"
79,143,3,"email, envio, configuração","monitor, danfe, fiscais"
143,147,3,"monitor, danfe, fiscais","recebimento notas, fiscal entrada, suprimentos recebimento"
84,135,3,"sql, código, select","remessa, industrialização, retorno"
19,143,3,"cnpj, pessoas, jurídicas","monitor, danfe, fiscais"
87,136,3,"reposição, ponto, estoque segurança","abastecimento, suprimentos planejamento, materiais"
20,25,3,"carteira, análise, relatório","caixas, aproveitamento, lote"
42,84,3,"conjunto, marca, embalagem","sql, código, select"
25,100,3,"caixas, aproveitamento, lote","cri, inventariado, inventário"
145,149,3,"desconto, valor, liquido","faturamento, liberação, estabelecimento"
99,105,3,"qtde, medição, metragem","estoque, reserva, localização"
21,60,3,"labelli, pegada, vocês","grafdil, pessoa, franquia"
88,150,3,"pré, recebimento, pre","faturamento, rota, liberação pedidos"
84,130,3,"sql, código, select","schneider, marcio, reni"
62,95,3,"carta correção, mail assunto, nfs","arezzo, importação, rótulos"
4,17,3,"pdv, caixa, kunden","dígitos, ean, contentor"
62,147,3,"carta correção, mail assunto, nfs","recebimento notas, fiscal entrada, suprimentos recebimento"
93,135,3,"encerramento, estoque, períodos","remessa, industrialização, retorno"
59,95,3,"romaneio, saída, faturamento","arezzo, importação, rótulos"
78,123,3,"plano produção, entrega, planos","distribuição pedidos, entrega, vendas distribuição"
78,108,3,"plano produção, entrega, planos","importação, edi, arquivo"
41,119,3,"lote, balanceado, quantidade","processo, recurso, relatório"
21,91,3,"labelli, pegada, vocês","fornecedor, wagner, nfs"
41,138,3,"lote, balanceado, quantidade","plano mestre, mestre produção, planejamento"
42,110,3,"conjunto, marca, embalagem","formula, tinta, acabamento"
122,139,3,"abastecimento, ofs, materiais","mestre produção, plano mestre, manufatura plano"
51,95,3,"medidora, barras, está lendo","arezzo, importação, rótulos"
43,120,3,"materiais, material, componente","cartão, emissão, componente"
17,95,3,"dígitos, ean, contentor","arezzo, importação, rótulos"
64,78,3,"lote mínimo, mínimo compra, qtde","plano produção, entrega, planos"
97,111,3,"compras, necessidades, mrp","semi, acabado, ofs"
110,135,3,"formula, tinta, acabamento","remessa, industrialização, retorno"
119,140,3,"processo, recurso, relatório","plano mestre, mestre produção, relatório plano"
70,80,3,"rotulo, ler, caixa","assunto, mail, marcio"
92,96,3,"planejamento vendas, cota, carcaça","instrução, embarque, cancelamento saldo"
24,130,3,"logs, job, tabelas","schneider, marcio, reni"
53,80,3,"painel, web, frigolaste","assunto, mail, marcio"
46,85,3,"armazenagem, local, locais","lotes, painel, fracionar"
30,85,3,"composto, documentação processos, transferência","lotes, painel, fracionar"
24,53,3,"logs, job, tabelas","painel, web, frigolaste"
87,105,3,"reposição, ponto, estoque segurança","estoque, reserva, localização"
89,139,3,"flex, vendas, saldo","mestre produção, plano mestre, manufatura plano"
57,135,3,"calculo, fpv, tarifas","remessa, industrialização, retorno"
67,123,3,"etiqueta, emissão, unidade produto","distribuição pedidos, entrega, vendas distribuição"
80,121,3,"assunto, mail, marcio","ivendre, fotos, ios"
125,131,3,"representante, entrega, preços","ivendre, ios, valor mínimo"
123,128,3,"distribuição pedidos, entrega, vendas distribuição","crédito, risco, analise"
47,123,3,"rentabilidade, inicialização, venda","distribuição pedidos, entrega, vendas distribuição"
128,150,3,"crédito, risco, analise","faturamento, rota, liberação pedidos"
88,123,3,"pré, recebimento, pre","distribuição pedidos, entrega, vendas distribuição"
107,135,3,"apontamento, web, coletores","remessa, industrialização, retorno"
40,131,3,"aplicar regra, venda documentação, estrutura comercial","ivendre, ios, valor mínimo"
60,125,3,"grafdil, pessoa, franquia","representante, entrega, preços"
119,127,3,"processo, recurso, relatório","eficiência, eficiencia, recurso"
82,83,3,"inspeção, amostragem, cep","cep, lançamento, controle indicador"
74,120,3,"controle acesso, aplicar ajuste, aplicação participará","cartão, emissão, componente"
80,134,3,"assunto, mail, marcio","encaixotamento liberação, talões, faturamento"
63,72,3,"preço, ecommerce, precisa habilitar","ocorrida, sobre, situação"
126,145,3,"desconto, comissão, regra","desconto, valor, liquido"
19,80,3,"cnpj, pessoas, jurídicas","assunto, mail, marcio"
28,109,3,"cotação, moeda, cotações","ticket, proceso, producción"
28,84,3,"cotação, moeda, cotações","sql, código, select"
69,72,3,"select, tabela, empresa","ocorrida, sobre, situação"
87,93,3,"reposição, ponto, estoque segurança","encerramento, estoque, períodos"
79,130,3,"email, envio, configuração","schneider, marcio, reni"
24,123,3,"logs, job, tabelas","distribuição pedidos, entrega, vendas distribuição"
69,103,3,"select, tabela, empresa","ora, mensagem, erro"
15,60,3,"manutenção, preventiva, maquina","grafdil, pessoa, franquia"
19,93,3,"cnpj, pessoas, jurídicas","encerramento, estoque, períodos"
17,79,3,"dígitos, ean, contentor","email, envio, configuração"
15,104,3,"manutenção, preventiva, maquina","operações, propriedade, tempo"
6,73,3,"user, senha, acesso base","relatório, fiscal, gera nota"
68,120,2,"ora, into kunden, null into","cartão, emissão, componente"
68,80,2,"ora, into kunden, null into","assunto, mail, marcio"
41,117,2,"lote, balanceado, quantidade","apontamento, fábrica lançamentos, desvio"
43,80,2,"materiais, material, componente","assunto, mail, marcio"
9,58,2,"doccob, transportadora, conemb","preço venda, cálculo, fpv"
81,103,2,"descritivos técnicos, doc, relatório emissões","ora, mensagem, erro"
107,118,2,"apontamento, web, coletores","multitarefa, cep, apontamento"
78,133,2,"plano produção, entrega, planos","planejamento, minutos, recurso"
83,99,2,"cep, lançamento, controle indicador","qtde, medição, metragem"
112,130,2,"apontamento, fábrica lançamentos, talão","schneider, marcio, reni"
112,113,2,"apontamento, fábrica lançamentos, talão","fabricação talão, talão lote, apontamento ordem"
25,106,2,"caixas, aproveitamento, lote","medida, unidade, primária"
35,117,2,"rótulos, armazenamento, unidades","apontamento, fábrica lançamentos, desvio"
83,113,2,"cep, lançamento, controle indicador","fabricação talão, talão lote, apontamento ordem"
