from,to,together,documents,from_baskets,to_baskets,confidence,lift,conviction,cross_module,kind,evidence,score
ADMI8,PEDI1,21,18,85,489,0.247,3.89,1.24,1,program->program,51-0 56-0 77-0,2.321
FATU79,PEDI1,4,4,9,489,0.444,6.99,1.69,1,program->program,919-0 967-1 968-0,2.321
ESTO27,ESTO129,4,4,19,37,0.211,43.76,1.26,0,program->program,184-8 200-12 202-99,2.315
EPRO57,EPRO15,9,7,25,652,0.36,4.25,1.43,0,program->program,80-92 121-51 235-64,2.307
EPRO58,PEDI1,14,11,50,489,0.28,4.4,1.3,1,program->program,102-1 146-0 148-0,2.304
ADMI102,FATU124,3,3,11,52,0.273,40.33,1.37,1,program->program,87-11 88-0 802-0,2.301
CEXT85,PEDI44,3,3,9,111,0.333,23.09,1.48,1,program->program,211-32 878-3 978-6,2.295
VEND94,PEDI44,3,3,9,111,0.333,23.09,1.48,1,program->program,211-164 258-31 730-16,2.295
FATU94,RECE2,5,4,19,105,0.263,19.27,1.34,1,program->program,9-0 159-9 211-166,2.291
FATU4,FATU2,6,3,15,316,0.4,9.73,1.6,0,program->program,159-13 211-49 263-9,2.282
COMP14,COMP13,15,9,70,182,0.214,9.05,1.24,0,program->program,335-3 668-1 678-15,2.272
PREC12,PREC13,3,3,12,3,0.25,640.83,1.33,0,program->program,141-12 766-0 773-10,2.269
CEXT84,CEXT18,4,3,17,10,0.235,180.94,1.31,0,program->program,144-1 856-2 861-14,2.269
PEDI138,PEDI46,3,3,12,25,0.25,76.9,1.33,0,program->program,891-1 897-3 902-0,2.269
EPRO40,EPRO15,3,3,5,652,0.6,7.08,2.29,0,program->program,80-185 353-7 420-1,2.261
VEND109,EPRO15,3,3,5,652,0.6,7.08,2.29,1,program->program,383-13 499-35 567-0,2.261
ESTO40,CPRO4,5,4,22,62,0.227,28.19,1.28,1,program->program,142-0 188-2 189-27,2.26
CFAB10,ESTO7,8,8,30,308,0.267,6.66,1.31,1,program->program,89-106 119-7 148-0,2.257
CFAB1,ESTO7,24,20,119,308,0.202,5.04,1.2,1,program->program,44-2 89-76 102-1,2.242
CFAB11,MPSP46,6,3,23,72,0.261,27.86,1.34,1,program->program,103-1 139-1 344-56,2.239
VEND14,PEDI1,9,6,27,489,0.333,5.24,1.4,1,program->program,519-1 521-0 653-0,2.225
CFAB30,COMP13,3,3,8,182,0.375,15.84,1.56,1,program->program,918-0 921-0 961-0,2.222
ADMI125,ESTO7,7,6,24,308,0.292,7.28,1.36,1,program->program,159-9 252-9 878-0,2.22
CFAB19,ESTO112,4,3,14,88,0.286,24.97,1.38,1,program->program,97-8 129-1 139-0,2.211
EPRO60,COMP3,9,5,37,147,0.243,12.72,1.3,1,program->program,80-111 386-3 668-27,2.197
RHUM9,FATU2,4,4,11,316,0.364,8.85,1.51,1,program->program,970-1 978-0 981-0,2.189
PREC9,CFAB2,11,10,53,193,0.208,8.27,1.23,1,program->program,74-1 89-112 189-21,2.183
EPRO59,EPRO15,9,9,28,652,0.321,3.79,1.35,0,program->program,80-110 89-4 103-12,2.18
ADMI6,EPRO15,36,34,157,652,0.229,2.7,1.19,1,program->program,10-1 80-171 96-0,2.178
PREC9,MPSP2,14,5,53,219,0.264,9.28,1.32,1,program->program,64-0 343-92 409-9,2.173
EPRO105,EPRO15,6,5,15,652,0.4,4.72,1.53,0,program->program,80-202 143-2 873-41,2.168
CFAB7,ADMI6,8,8,38,157,0.211,10.31,1.24,1,program->program,96-0 97-9 375-1,2.165
ESTO77,CUST8,4,3,18,24,0.222,71.2,1.28,1,program->program,5-0 6-1 188-1,2.161
MPSP75,MPSP77,4,3,18,9,0.222,189.88,1.28,0,program->program,439-2 441-1 442-1,2.161
ADMI125,CFAB2,6,6,24,193,0.25,9.96,1.3,1,program->program,793-67 878-0 971-4,2.155
CFAB24,PEDI1,10,10,36,489,0.278,4.37,1.3,1,program->program,9-1 72-1 80-22,2.151
MPSP46,EPRO15,22,9,72,652,0.306,3.6,1.32,1,program->program,103-1 104-6 121-51,2.145
ESTO27,ESTO25,6,5,19,336,0.316,7.23,1.4,0,program->program,202-99 911-2 918-2,2.144
ESTO129,ESTO25,10,7,37,336,0.27,6.19,1.31,0,program->program,80-197 141-9 200-7,2.134
CPAG5,ESTO7,3,3,7,308,0.429,10.7,1.68,1,program->program,147-8 974-3 978-5,2.129
CPRO24,CFAB101,3,3,13,34,0.231,52.19,1.29,1,program->program,2-3 511-5 515-4,2.127
MIND15,MIND11,3,3,13,6,0.231,295.77,1.3,0,program->program,833-1 850-0 851-0,2.127
MIND30,MIND3,3,3,13,5,0.231,354.92,1.3,0,program->program,838-18 845-8 846-5,2.127
COMP24,RECE7,3,3,11,70,0.273,29.96,1.36,1,program->program,918-1 920-0 961-1,2.122
ESTO23,FATU3,7,6,28,211,0.25,9.11,1.3,1,program->program,159-12 181-1 240-7,2.116
ADMI19,FATU2,4,3,10,316,0.4,9.73,1.6,1,program->program,21-0 213-80 308-2,2.107
CFAB83,MPSP46,3,3,11,72,0.273,29.13,1.36,1,program->program,121-0 139-1 344-63,2.106
