program;description;menu name;type;auto description (for reference)
CFAB51;;Finalização de Produção;Programa;CFAB51 – Finalização de Produção. Tipo: Programa. Termos frequentes: reposição finalizar produção, fábrica lançamentos finalização, manufatura chão, usuario producao fechamento, data hora finalizacao, atm set situacao. Documentos: Finalização de Produção - CFAB51.
COMP7;;Posição de Entregas;Programa;COMP7 – Posição de Entregas. Tipo: Programa. Variações no menu: Posição de Entregas - Roberto. Termos frequentes: recebimentos parciais, produção agrupado, qtdes no novo, possível pelo fato, pedidos de compra. Documentos: Relatório Posição de Entregas - COMP7.
PREC18;;Relatório Eficiência;Programa;PREC18 – Relatório Eficiência. Tipo: Programa. Termos frequentes: minutos perdidos, capacidade de recursos, eficiência alteração, relatórios relatório eficiência. Documentos: Relatório Eficiencia - PREC18.
MIND1;;Tipos de Equipamento;Programa;MIND1 – Tipos de Equipamento. Tipo: Programa.
FATU4;;Configuração de Notas Fiscais;Programa;FATU4 – Configuração de Notas Fiscais. Tipo: Programa.
FATU128;;Romaneio Pieles del Sur;Programa;"FATU128 – Romaneio Pieles del Sur. Tipo: Programa. Variações no menu: Romaneio Pieles del Sur - Marcio; Romaneio Pieles Del Sur - Com Imagem; Romaneio Pieles del Sur - Sem Imagem. Termos frequentes: bits, validar uns pedidos, estou precisando, caminho logotipo, nada na impressora, caligiuri santos. Documentos: Romaneio Pieles del Sur – FATU128."
PREC36;;Cadastro de Tempos por Setor;Programa;PREC36 – Cadastro de Tempos por Setor. Tipo: Programa. Documentos: Cadastro de Tempos por Setor – PREC36.
ESTO108;;Relatório Conciliação Estoque x Contábil;Programa;"ESTO108 – Relatório Conciliação Estoque x Contábil. Tipo: Programa. Variações no menu: Relatorio Conciliação Estoque x Contabil - Pegada; Relatório Conciliação Estoque x Contábil - 64 Bits. Termos frequentes: administração configurações agendador. Documentos: Relatório Conciliação Estoque X Contábil, ESTO108."
MIND16;;Gera Nota Fiscal Ordem de Transferência;Programa;MIND16 – Gera Nota Fiscal Ordem de Transferência. Tipo: Programa. Documentos: Gera Nota Fiscal Ordem de Transferência – MIND16.
ESTO37;;Solicitação de Necessidades de Materiais;Programa;"ESTO37 – Solicitação de Necessidades de Materiais. Tipo: Programa. Variações no menu: Solicitação de Necessidades de Materiais - Simão; Requisição Informada - Multi Produtos. Termos frequentes: requisição informada multi, frequente esta funcionalidade, custo-benefício baixo visto. Documentos: Requisição Informada - Multi Produtos – ESTO37."
FATU22;;Emissão Rótulo Unidade Armazenamento;Programa;"FATU22 – Emissão Rótulo Unidade Armazenamento. Tipo: Programa. Variações no menu: Emissão Rótulo Unidade Armazenamento - OKSEBRA; Emissão Rótulo Unidade Armazenamento BRISA; Emissão Rótulo Unidade Armazenamento COMPLEMENTAR; Emissão Rótulo Unidade Armazenamento GLOBO STANDARD."
PEDI112;;Cancelamento Saldo Embarque;Programa;PEDI112 – Cancelamento Saldo Embarque. Tipo: Programa. Variações no menu: Cancelamento Saldo Embarque (Somente Entregas sem Faturamento). Termos frequentes: cancelamento de saldo. Documentos: Cancelamento Saldo de Embarque - PEDI112.
FATU69;;Romaneio - Edição;Programa;FATU69 – Romaneio - Edição. Tipo: Programa. Termos frequentes: romaneio manual, vinculados no romaneio, crítica boa tarde, enquanto se discute, tolerancia análise crítica, essas questões. Documentos: Romaneio Manual_Edição - FATU69.
ADMI66;;Regras Tributação Especial;Programa;ADMI66 – Regras Tributação Especial. Tipo: Programa. Termos frequentes: regra de tributação. Documentos: Regras Tributação Especial – ADMI66.
FVEN4;;Categoria FPV;Programa;FVEN4 – Categoria FPV. Tipo: Programa. Termos frequentes: preço de venda. Documentos: Categoria FPV – FVEN4.
EPRO105;;Estruturação do Produto - Manufatura - Novo;Programa;EPRO105 – Estruturação do Produto - Manufatura - Novo. Tipo: Programa. Variações no menu: Estruturação do Produto - Manufatura - Novo - Exibe Inativos.
CFAB19;;CFAB19_CURTUME - Emissão de OF;Relatório;"CFAB19 – CFAB19_CURTUME - Emissão de OF. Tipo: Relatório. Variações no menu: Emissão Ordem de Fabricação; CFAB19_AMC; Relatório OF Curtumes; CFAB19_SBC."
CFAB79;;Relatório de Produção da Classificação - Análise da Classificação;Programa;CFAB79 – Relatório de Produção da Classificação - Análise da Classificação. Tipo: Programa. Documentos: Relatório de Produção da Classificação - Análise da Classificação - CFAB79.
TERC2;;Retorno (Com Apontamento Produção);Programa;"TERC2 – Retorno (Com Apontamento Produção). Tipo: Programa. Variações no menu: Retorno (Sem Apontamento Produção/Sem Código de Barras); Retorno (Com Apontamento Produção/Com Código de Barras); Retorno - Simão; Retorno (Sem Apontamento Produção/Código de Barras)."
ESTO79;;Apontamento de Requisição-NÃO USAR-PROGRAMA COM PROBLEMAS (Marcio);Programa;ESTO79 – Apontamento de Requisição-NÃO USAR-PROGRAMA COM PROBLEMAS (Marcio). Tipo: Programa.
COMP28;;Plano de Necessidades de Compras por Plano de Produção;Programa;"COMP28 – Plano de Necessidades de Compras por Plano de Produção. Tipo: Programa. Termos frequentes: insumo unitário, resumo de materiais. Documentos: Relatório Plano de Necessidades de Compras por Plano Produção - COMP28; Plano de Necessidades de Compras por Plano de Produção – COMP28."
ADMI25;;Permissões;Programa;ADMI25 – Permissões. Tipo: Programa. Documentos: Permissões – ADMI25.
PEDI80;;PEDI80;Programa;PEDI80 – PEDI80. Tipo: Programa. Variações no menu: Reserva Pedidos a Produzir. Termos frequentes: pedidos a produzir, deseja continuar, terá que desmarcar, alteração categoria entrega, filtro quantidade mínima, distribuição pedidos. Documentos: Reserva Pedidos a Produzir – PEDI80.
CPRO24;;Emissão de Laudos;Programa;"CPRO24 – Emissão de Laudos. Tipo: Programa. Termos frequentes: laudo, modificar o rodapé, laudo da trevisan, empresa frigolaste documentação, corrigir situação, condenas. Documentos: Rotina CPRO3,CPRO22,CPRO23,CPRO27,CPRO24,CPRO4,RECE50, Condenas, Laudos, Gera Contra Nota; Emissão de Laudos - CPRO24."
COMP4;;Categorias de Pedido;Programa;COMP4 – Categorias de Pedido. Tipo: Programa. Documentos: Categoria de Pedido de Compras - COMP4.
ADMI30;;Segmentação de Código;Programa;"ADMI30 – Segmentação de Código. Tipo: Programa. Termos frequentes: local de armazenagem, lido ou informado, leitz, minha mudança, homologação estava. Documentos: Painel de Armazenagem; Segmentação de Código - ADMI30."
CFAB78;;Relatório de Rendimento;Programa;CFAB78 – Relatório de Rendimento. Tipo: Programa. Variações no menu: Relatório de Rendimento FRIGO. Termos frequentes: encerramento de ordem. Documentos: Relatório de Rendimento - CFAB78.
CFAB71;;Relatório Produto por Plano/Construção/Modelo/Produto;Programa;CFAB71 – Relatório Produto por Plano/Construção/Modelo/Produto. Tipo: Programa. Variações no menu: Relatório Produto por Plano/Construção/Modelo/Produto - Gass. Documentos: Relatório Produção por Plano_Construção_Modelo_Produto - CFAB71.
MIND15;;Transferência Externa;Programa;MIND15 – Transferência Externa. Tipo: Programa. Termos frequentes: localização da máquina, incapaz de inserir, preparado para vincular, porque foi separado, centro de trabalho. Documentos: Transferência Externa - MIND15.
