"PROGRAMA","DESCRICAO","TIPO"
"MPSP13","Plano Mestre de Produção Detalhado","Relatório"
"CONT30","Relatório Lançamentos Contábeis","Programa"
"CONT15","Gerador Plano de Contas","Programa"
"CONT1","Grupos Contábeis","Programa"
"CONT31","1 Relatório Lançamentos Contábeis","Relatório"
"CEXC1059","2 Relatório Lançamentos Contábeis - CONT32","Relatório"
"CONT6","Plano de Contas","Programa"
"CONT5","Plano de Contas Mestre","Programa"
"CONT16","Relatório Plano de Contas","Programa"
"CONT17","Relatório Plano de Contas","Relatório"
"CONT28","Balancete Comparativo","Programa"
"CONT29","Balancete Comparativo","Relatório"
"CONT14","Balancetes","Programa"
"CONT18","Balancete Movimento Mensal","Relatório"
"CONT19","Balancete Saldo Mensal","Relatório"
"CONT20","Balancete Simplificado","Relatório"
"ADMI65","Regras Tributação ICMS","Programa"
"CONT21","Balanço Patrimonial","Programa"
"CONT22","Balanço","Relatório"
"ADMI66","Regras Tributação Especial","Programa"
"COMP3","Pedidos de Compra com Cotação","Programa"
"COMP3","Pedidos de Compra sem Cotação","Programa"
"ADMI67","Regras Tributação PIS/COFINS","Programa"
"EPRO9","Classificações Fiscais","Programa"
"PEDI5","Pedido de Venda","Relatório"
"MPSP17","MPS","Relatório"
"MPSP11","Programação Pedidos a Embarcar","Relatório"
"MPSP7","Programação Prevista X Realizada","Relatório"
"ESTO23","Transferência entre Localização - Estab 3","Programa"
"VEND68","Demonstrativo Royalties","Relatório"
"LFIS6","Registro de Entradas","Programa"
"CBAN3","Lançamentos Simples","Programa"
"ESTO7","Consulta Estoque Produto","Programa"
"ESTO8","Relatório Lançamentos","Programa"
"ESTO9","Relatório Lançamentos por Produto","Relatório"
"COMP12","Consulta Pedidos de Compra","Programa"
"CBAN6","Relatório Lançamentos","Programa"
"ADMI8","Parâmetros","Programa"
"ADMI24","Organizações","Programa"
"CPAG4","Operações contas a pagar","Programa"
"ADMI23","Licenças","Programa"
"CPAG2","Modalidades","Programa"
"CPAG1","Posição - Contas A Pagar","Programa"
"PREC2","Nível de Dificuldade","Programa"
"CPAG2","Modalidades","Programa"
"CPAG1","Posição - Contas A Receber","Programa"
"CREC3","Histórico Comissões/Royaltes","Programa"
"CPAG5","Lançamentos Contas a Pagar","Programa"
"PREC3","Grau de Dificuldade","Programa"
"ADMI27","Contratos","Programa"
"IQUA1","Item Inspeção","Programa"
"EPRO17","Grade Fechada","Programa"
"EPRO2","Categoria","Programa"
"EPRO14","Componente","Programa"
