cluster_a,cluster_b,links,keywords_a,keywords_b
55,85,4,"mail assunto, desenvolvimento, queria entender","pré, recebimento, pre"
27,52,4,"romaneio, notas fiscais, fiscais rótulo","rotulo, rótulo, operação"
56,140,4,"kunden systems, ocorrida, implantação","recurso, planejamento, meta"
16,48,4,"manutenção industrial, transferência, centro trabalho","ora, erro, mensagem"
32,59,4,"dígitos, ean, contentor","navegador, impressora, atalho"
24,34,4,"user, acesso base, login","labelli, api, job"
34,80,4,"labelli, api, job","características, categoria, preenchidas"
67,89,4,"relatório posição, frigorificos, gerenciamento","estoque futuro, localização, produção estoque"
69,129,4,"largura, produção agrupado, plano produção","entrega, categoria, venda"
52,56,4,"rotulo, rótulo, operação","kunden systems, ocorrida, implantação"
122,153,4,"emissão ordem, chão, ordem fabricação","plano mestre, mestre produção, relatório plano"
136,137,4,"planejamento vendas, vendas planejamento, vendas frigorífico","flex, saldo, representantes controle"
46,53,4,"armazenagem, lotes, local","etiqueta, impressa, embalagem"
19,109,4,"fpv, preço venda, cálculo","planejamento vendas, cota, vendas planejamento"
19,22,4,"fpv, preço venda, cálculo","detalhamento teste, login, user"
100,103,4,"instrução, embarque, caixas","embarque parcial, reserva, aceita embarque"
129,130,4,"entrega, categoria, venda","carteira, distribuição pedidos, pedidos relatórios"
22,57,4,"detalhamento teste, login, user","etiqueta, emissão, impressão"
138,146,4,"ivendre, semana, carrinhos","proposta, ivendre, representante"
20,31,4,"controle embarque, embarque web, rótulos","picking, rótulo, web"
30,45,4,"encaixotamento, talões, liberação faturamento","armazenagem, local, rótulos"
22,30,4,"detalhamento teste, login, user","encaixotamento, talões, liberação faturamento"
109,136,4,"planejamento vendas, cota, vendas planejamento","planejamento vendas, vendas planejamento, vendas frigorífico"
22,113,4,"detalhamento teste, login, user","risco, crédito, analise"
2,16,4,"moeda, cotação, cotações","manutenção industrial, transferência, centro trabalho"
28,84,4,"importação, edi, arquivo","compras, comprador, alçada"
28,51,4,"importação, edi, arquivo","email, envio, mails"
35,51,4,"raja, paquete, cantidad","email, envio, mails"
15,84,4,"tolerância, pis cofins, tolerancia","compras, comprador, alçada"
72,110,4,"mrp, material, data cadastro","necessidades, compras, mrp"
48,120,4,"ora, erro, mensagem","reposição, ponto, estoque segurança"
25,78,4,"job, logs, ção","and, select, nvl"
17,25,4,"manutenção, preventiva, maquina","job, logs, ção"
51,71,4,"email, envio, mails","empresa, mrp, tabela"
43,132,4,"cep, inspeção, lançamento","eficiência, minutos, turno"
6,112,4,"satra, ticket, arquivo","data base, fecha base, plano produção"
26,32,4,"arezzo, importação, rótulos","dígitos, ean, contentor"
