cluster,size,keywords,top_module,module_purity,modules,record_types,documents,largest_doc_share,cohesion,example
54,34,"corrugado, rótulos, corrugada, encaixotamento, agrupar, melhor",FATU,0.36,FATU:10 EPRO:7 MPSP:7 PEDI:2,pedido:25 documentacao:8 email:1,10,0.29,0.822,Geração Rótulos para compostos de venda (FATU16) — PLANO DE PRODUÇÃO X RÓTULOS - NO GERADOR DE RÓTULOS PASSAR A MOSTRAR E PERMITIR ALTERAÇÃO…
55,32,"mail assunto, desenvolvimento, queria entender, onde feito, você sabe, abaixo",ESTO,0.27,ESTO:4 MPSP:3 FATU:3 CFAB:1,email:12 documentacao:11 pedido:9,28,0.06,0.745,"Pegada, Sobre o abaixo Pedido Serviço 68873, viu o retorno?"
56,117,"kunden systems, ocorrida, implantação, treinamento, situação, guilherme",ESTO,0.22,ESTO:12 MPSP:10 CFAB:6 PEDI:6,documentacao:105 email:9 teste:2 pedido:1,83,0.06,0.679,"Documentação disponibilizada sobre a rotina, por Deise"
57,31,"etiqueta, emissão, impressão, xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx, versão, distribuição pedidos",PEDI,0.96,PEDI:23 CFAB:1,pedido:20 documentacao:7 email:4,8,0.71,0.805,PEDI142 + Emissão de Etiqueta por Unidade de Produto (PEDI7) — PROGRAMA EMISSÃO DE ETIQUETA POR UNIDADE DE PRODUTO ¿ PEDI7: CRIAR NOVA VERSÃO DE…
58,19,"etiquetas, impressora, impressão, argox, tamanho etiqueta, bits",FATU,0.54,FATU:7 PEDI:6,email:8 documentacao:8 pedido:3,5,0.37,0.797,"ETIQUETA DA CAIXINHA CARRANO Bom dia, Sobre as etiquetas"
59,22,"navegador, impressora, atalho, impressão automática, kiosk printing, etiqueta",EPRO,0.57,EPRO:4 PEDI:2 FATU:1,documentacao:15 email:4 pedido:3,12,0.14,0.797,configurar no navegador para nem abrir a tela de escolha de impressora...e sim ao clicar…
60,25,"rótulos, armazenamento, unidades, gera, distribuição faturamento, vendas distribuição",FATU,0.83,FATU:15 EPRO:3,pedido:24 documentacao:1,8,0.6,0.851,"Geração Rótulos para compostos de venda (FATU16) — GERA RÓTULOS UNIDADES ARMAZENAMENTO - FATU16 - CRIAR CAMPO NA ABA ""MANUFATURA"" DA…"
61,16,"emissão etiqueta, etiqueta nota, rótulos emissão, etiqueta documento, faturamento rótulos, documento fiscal",FATU,0.85,FATU:11 VEND:2,pedido:10 documentacao:4 email:2,5,0.5,0.839,Emissão Etiqueta com Documento Fiscal (FATU55) — EMISSÃO ETIQUETA DE NOTA FISCAL - PASSAR A GERAR AS ETIQUETAS NA ORDEM DE NUMERO DAS NFS
62,57,"painel, web, expedição, frigolaste, embalagem, armazenagem",FATU,1.0,FATU:1,pedido:55 email:2,12,0.35,0.812,PAINEL DE EMBALAGEM - WEB - CRIAR UM CONTADOR DE APONTAMENTOS NO PAINEL DE EMBALAGEM
63,19,"etiqueta, primevo, letavo, embalagem, marca, logotipo",EPRO,1.0,EPRO:2,pedido:14 email:4 documentacao:1,4,0.79,0.822,"""ETIQUETA EXTERNA DA CAIXA"" Bom dia"
64,25,"nao, transcricao, deve, dito, reuniao, importacao",ADMI,0.86,ADMI:6 EPRO:1,documentacao:18 pedido:7,10,0.56,0.762,"contrato de cambio, nao deve assumir, texto legal"
65,27,"painel embalagem, embalagem web, web painel, primevo painel, rotina web, web alteração",,,,pedido:27,1,1.0,0.839,PAINEL DE EMBALAGEM - WEB - NÃO ESTÁ TRAZENDO A QUANTIDADE EM UM Rotina
66,21,"painel, abate, animal, embalagem, marca, apontamento",,,,pedido:17 documentacao:4,6,0.43,0.812,"produção web embalagem, etiqueta de lote, adicionada uma coluna"
67,30,"relatório posição, frigorificos, gerenciamento, relatório pedidos, eventos recebimento, entregas web",PEDI,0.29,PEDI:2 VEND:2 CFAB:1 COMP:1,documentacao:30,30,0.03,0.756,"relatório lote produção, produzir"
